"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C8, C9, C10, C11, C21, C22, C23, C24","12","1u","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"2","C5, C12","2","2u2","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"3","C6, C13, C16, C19, C27, C28","6","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"4","C7, C14","2","220p","Capacitor_SMD:C_0805_2012Metric",""
"5","C15, C17, C18, C20","4","100n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"6","C25, C26","2","100p","Capacitor_SMD:C_0805_2012Metric",""
"7","C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39","11","100n","Capacitor_SMD:C_0805_2012Metric",""
"8","D1, D2","2","red","LED_SMD:LED_0805_2012Metric",""
"9","D3, D4","2","red_green","LED_THT:LED_D5.0mm",""
"10","J1","1","dry_in","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"11","J2","1","vcf_board_send_receive","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical",""
"12","J3","1","final_out","Connector_Molex:Molex_KK-254_AE-6410-07A_1x07_P2.54mm_Vertical",""
"13","J4","1","power_entry","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"14","Q1, Q3","2","BS170","Package_TO_SOT_THT:TO-92_Wide",""
"15","Q2, Q4","2","BF245A","Package_TO_SOT_THT:TO-92_Wide",""
"16","R1, R2","2","470k","Resistor_SMD:R_0805_2012Metric",""
"17","R3, R9, R20, R28","4","10k","Resistor_SMD:R_0805_2012Metric",""
"18","R4, R10","2","3k3","Resistor_SMD:R_0805_2012Metric",""
"19","R5, R6, R11, R12","4","47k","Resistor_SMD:R_0805_2012Metric",""
"20","R7, R13","2","2M2","Resistor_SMD:R_0805_2012Metric",""
"21","R8, R14","2","22k","Resistor_SMD:R_0805_2012Metric",""
"22","R15, R21, R23, R29","4","1k","Resistor_SMD:R_0805_2012Metric",""
"23","R16, R17, R24, R25","4","1M","Resistor_SMD:R_0805_2012Metric",""
"24","R18, R26","2","4k7","Resistor_SMD:R_0805_2012Metric",""
"25","R19, R27","2","2k","Resistor_SMD:R_0805_2012Metric",""
"26","R22, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43","15","100k","Resistor_SMD:R_0805_2012Metric",""
"27","R44, R45","2","100","Resistor_SMD:R_0805_2012Metric",""
"28","RV1, RV2, RV3","3","100k","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical",""
"29","RV4, RV5","2","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"30","SW1","1","bypass_switch_A","custom_footprints:DPDT_mini_toggle",""
"31","SW2","1","bypass_switch_B","custom_footprints:DPDT_mini_toggle",""
"32","TP1","1","compressor_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"33","TP2","1","compressor_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"34","TP3","1","distortion_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"35","TP4","1","distortion_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"36","U1, U3, U4, U5, U6","5","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"37","U2","1","NE570","Package_DIP:DIP-16_W7.62mm_Socket",""
