Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C6 C7 C8 C9 C10 C11,100n,C_0805_2012Metric,6, ,~
2,Unpolarized capacitor,C,C2,220n,C_Rect_L7.0mm_W3.5mm_P5.00mm,1, ,~
3,Unpolarized capacitor,C,C1,470n,C_Rect_L7.0mm_W3.5mm_P5.00mm,1, ,~
4,Polarized capacitor,C_Polarized,C3 C4 C5,10u,CP_Radial_D6.3mm_P2.50mm,3, ,~
5,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D1 D2 D3 D4 D5 D6,1N4148W,D_SOD-123,6, ,https://www.vishay.com/docs/85748/1n4148w.pdf
6,"Dual LED, bidirectional",LED_Dual_Bidirectional,D7,red_green,LED_D5.0mm,1, ,~
7,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J1,audio_IO,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1, ,~
8,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J3,power_entry,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
9,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J2,vcf_board_port,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1, ,~
10,Resistor,R,R10,1k,R_0805_2012Metric,1, ,~
11,Resistor,R,R18,3k3,R_0805_2012Metric,1, ,~
12,Resistor,R,R1 R7,5k6,R_0805_2012Metric,2, ,~
13,Resistor,R,R8 R9,10k,R_0805_2012Metric,2, ,~
14,Resistor,R,R13,47k,R_0805_2012Metric,1, ,~
15,Resistor,R,R2 R3 R4 R5 R6 R14 R15 R16 R17,100k,R_0805_2012Metric,9, ,~
16,Resistor,R,R12,220k,R_0805_2012Metric,1, ,~
17,Resistor,R,R11,680k,R_0805_2012Metric,1, ,~
18,Potentiometer,R_Potentiometer,RV1 RV2 RV3 RV4,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,4, ,~
19,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2 U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,3, ,http://www.ti.com/lit/ds/symlink/tl071.pdf





Project info:
Schematic:,envelope_follower
Variant:,default
Revision:,0
Date:,2022-05-26
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,19
Component Count:,46 (30 SMD/ 13 THT)
Fitted Components:,46 (30 SMD/ 13 THT)
Number of PCBs:,1
Total Components:,46
