Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C16 C28 C45 C48 C49 C52,100p,C_0805_2012Metric,6, ,~
2,Unpolarized capacitor,C,C1 C2 C3 C4 C46 C47 C50 C51,1n2,C_0805_2012Metric,8, ,~
3,Unpolarized capacitor,C,C7 C10 C11 C12 C19 C22 C23 C24,22n 2.5%,C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,8, ,~
4,Unpolarized capacitor,C,C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C44,100n,C_0805_2012Metric,14, ,~
5,Unpolarized capacitor,C,C6 C8 C18 C20,470n,C_Rect_L7.0mm_W3.5mm_P5.00mm,4, ,~
6,Polarized capacitor,C_Polarized,C5 C13 C14 C17 C25 C26 C29 C30,10u,CP_Radial_D6.3mm_P2.50mm,8, ,~
7,Polarized capacitor,C_Polarized,C15 C27,220u,CP_Radial_D6.3mm_P2.50mm,2, ,~
8,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x08,J1,comp_dist_board_port,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,1, ,~
9,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J3,env_board_port,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1, ,~
10,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J2,ext_cv_port,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1, ,~
11,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J4,lfo_board_port,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1, ,~
12,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J5,power_entry,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
13,,BCM847DS135,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q10 Q11 Q12 Q13 Q14 Q15 Q16,BCM847,SOT457,14, ,
14,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q9 Q18,MMBT3904,SOT-23,2, ,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF
15,"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, SOT-23",MMBT3906,Q8 Q17,MMBT3906,SOT-23,2, ,https://www.onsemi.com/pub/Collateral/2N3906-D.PDF
16,Resistor,R,R22 R29 R31 R32 R45 R52 R54 R55,150,R_0805_2012Metric,8, ,~
17,Resistor,R,R19 R36 R39 R42 R59 R62 R68 R70 R76 R78,220,R_0805_2012Metric,10, ,~
18,Resistor,R,R35 R58,330,R_0805_2012Metric,2, ,~
19,Resistor,R,R34 R40 R57 R63,470,R_0805_2012Metric,4, ,~
20,Resistor,R,R37 R60,680,R_0805_2012Metric,2, ,~
21,Resistor,R,R20 R21 R30 R43 R44 R53,1k2,R_0805_2012Metric,6, ,~
22,Resistor,R,R6 R15,3k9,R_0805_2012Metric,2, ,~
23,Resistor,R,R72 R80,4k7,R_0805_2012Metric,2, ,~
24,Resistor,R,R33 R56 R65 R66 R67 R73 R74 R75,33k,R_0805_2012Metric,8, ,~
25,Resistor,R,R25 R26 R48 R49,47k,R_0805_2012Metric,4, ,~
26,Resistor,R,R3 R4 R5 R7 R8 R12 R13 R14 R16 R17 R23 R24 R38 R41 R46 R47 R61 R64,100k,R_0805_2012Metric,18, ,~
27,Resistor,R,R27 R28 R50 R51,270k,R_0805_2012Metric,4, ,~
28,Resistor,R,R1 R10 R69 R77,330k,R_0805_2012Metric,4, ,~
29,Resistor,R,R2 R11 R71 R79,680k,R_0805_2012Metric,4, ,~
30,Resistor,R,R9 R18,Rt,R_0805_2012Metric,2, ,~
31,Trim-potentiometer,R_Potentiometer_Trim,RV7 RV8 RV9 RV10 RV11 RV12,10k,Potentiometer_Bourns_3296W_Vertical,6, ,~
32,Potentiometer,R_Potentiometer,RV1 RV3 RV4 RV5 RV6,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,5, ,~
33,Potentiometer,R_Potentiometer,RV2,100k_C.D.,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1, ,~
34,,SSI2164,U3,SSI2164,SO-16_3.9x9.9mm_P1.27mm,1, ,
35,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2 U4 U5 U6 U7,TL072,SOIC-8_3.9x4.9mm_P1.27mm,6, ,http://www.ti.com/lit/ds/symlink/tl071.pdf





Project info:
Schematic:,filter_board
Variant:,default
Revision:,0
Date:,2022-06-16
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,35
Component Count:,172 (112 SMD/ 39 THT)
Fitted Components:,172 (112 SMD/ 39 THT)
Number of PCBs:,1
Total Components:,172
