"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C46, C47, C50, C51","8","1n2","Capacitor_SMD:C_0805_2012Metric",""
"2","C5, C13, C14, C17, C25, C26, C29, C30","8","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"3","C6, C8, C18, C20","4","470n","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"4","C7, C10, C11, C12, C19, C22, C23, C24","8","22n 2.5%","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"5","C15, C27","2","220u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"6","C16, C28, C48, C52","4","100p","Capacitor_SMD:C_0805_2012Metric",""
"7","C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44","14","100n","Capacitor_SMD:C_0805_2012Metric",""
"8","C45, C49","2","100p","Capacitor_SMD:C_0805_2012Metric","DNP"
"9","J1","1","comp_dist_board_port","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical",""
"10","J2","1","ext_cv_port","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",""
"11","J3","1","env_board_port","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"12","J4","1","lfo_board_port","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"13","J5","1","power_entry","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"14","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q10, Q11, Q12, Q13, Q14, Q15, Q16","14","BCM847","custom_footprints:SOT457",""
"15","Q8, Q17","2","MMBT3906","Package_TO_SOT_SMD:SOT-23",""
"16","Q9, Q18","2","MMBT3904","Package_TO_SOT_SMD:SOT-23",""
"17","R1, R10, R69, R77","4","330k","Resistor_SMD:R_0805_2012Metric",""
"18","R2, R11, R71, R79","4","680k","Resistor_SMD:R_0805_2012Metric",""
"19","R3, R4, R5, R7, R8, R12, R13, R14, R16, R17, R24, R38, R47, R61","14","100k","Resistor_SMD:R_0805_2012Metric",""
"20","R6, R15","2","3k9","Resistor_SMD:R_0805_2012Metric",""
"21","R9, R18","2","Rt","Resistor_SMD:R_0805_2012Metric",""
"22","R19, R36, R39, R42, R59, R62, R68, R70, R76, R78","10","220","Resistor_SMD:R_0805_2012Metric",""
"23","R20, R21, R30, R43, R44, R53","6","1k2","Resistor_SMD:R_0805_2012Metric",""
"24","R22, R29, R31, R32, R45, R52, R54, R55","8","150","Resistor_SMD:R_0805_2012Metric",""
"25","R23, R27, R28, R46, R50, R51","6","270k","Resistor_SMD:R_0805_2012Metric",""
"26","R25, R26, R48, R49","4","47k","Resistor_SMD:R_0805_2012Metric",""
"27","R33, R56, R65, R73","4","120k","Resistor_SMD:R_0805_2012Metric",""
"28","R34, R40, R57, R63","4","470","Resistor_SMD:R_0805_2012Metric",""
"29","R35, R58","2","330","Resistor_SMD:R_0805_2012Metric",""
"30","R37, R60","2","680","Resistor_SMD:R_0805_2012Metric",""
"31","R41, R64","2","1M","Resistor_SMD:R_0805_2012Metric",""
"32","R66, R67, R74, R75","4","33k","Resistor_SMD:R_0805_2012Metric",""
"33","R72, R80","2","4k7","Resistor_SMD:R_0805_2012Metric",""
"34","RV1, RV3, RV4, RV5, RV6","5","100k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"35","RV2","1","100k_C.D.","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"36","RV7, RV8, RV9, RV10, RV11, RV12","6","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"37","TP1","1","dry_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"38","TP2","1","wet_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"39","TP3","1","mix_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"40","TP4","1","freq_CV_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"41","TP5","1","fb_CV_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"42","TP6","1","dry_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"43","TP7","1","wet_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"44","TP8","1","mix_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"45","TP9","1","freq_CV_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"46","TP10","1","fb_CV_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"47","U1, U2, U4, U5, U6, U7","6","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"48","U3","1","SSI2164","Package_SO:SO-16_3.9x9.9mm_P1.27mm",""
